voie DA/15 75015 Paris	Historique.~ Voie projetée.	voie DA/15 75015 Paris	48.8919746	2.3843053	rue
rue Gaston Gallimard 75007 Paris	"Historique.~ Cette voie a été créée en 1907, sous le nom de square de l'Université. De 1911 à 1929, c'était une partie de la rue de Beaune. Précédemment, partie publique de la rue Sébastien Bottin.
Orig. du nom.~ Gaston Gallimard (Paris, 1881-Neuilly-sur-Seine, 1975) éditeur. Il contribua à la publication de nombreux prix littéraires."	rue Gaston Gallimard 75007 Paris	48.8569917	2.3286439	rue
place Coluche 75013 Paris	Dénomination. ~ Arr. mun. du 5 novembre 2002.	place Coluche 75013 Paris	48.8265278	2.3416667	rue
place Coluche 75014 Paris	Dénomination. ~ Arr. mun. du 5 novembre 2002.	place Coluche 75014 Paris	48.8265278	2.3416667	rue
rue Albert Roussel 75017 Paris	"Historique. ~ Voie créée dans le cadre de l'aménagement de la Zac ""Porte d'Asnières"", précédemment dénommée voie BM/17.
Orig. du nom. ~ Albert Roussel (Tourcoing, 1869-Royan, 1937) compositeur français."	rue Albert Roussel 75017 Paris	48.8920656	2.3052647	rue
villa Méridienne 75014 Paris	"Historique. ~ Précédemment dénommée voie AJ/14, créée lors de l'aménagement de la zone ""Alésia-Montsouris"".
Orig. du nom. ~ Le méridien de Paris traverse le fond de l'impasse. Deux médaillons en bronze scellés dans le sol en matérialisent l'axe Nord/Sud. Ces médaillons font parties de l'oeuvre imaginaire de l'artiste néerlandais Jan Dibbets, conçue dans les années 1990."	villa Méridienne 75014 Paris	48.825746	2.336548	rue
rue Georges Duhamel 75015 Paris	"Historique.~ Précédemment dénommée voie BN/15, créée lors de l'aménagement de la Z.A.C. ""Vaugirard"".
Orig. du nom.~ Georges Duhamel (Paris, 1884-Valmondois, Val d'Oise, 1966), chirurgien militaire, puis écrivain. Il obtint le prix Goncourt en 1918, et entra à l'Académie Française en 1935."	rue Georges Duhamel 75015 Paris	48.8361512	2.3125054	rue
villa des Hautes Traverses 75020 Paris	"Historique.~ Voie créée dans le cadre de l'aménagement de la Zac ""Réunion"". Précédemment dénommée voie FE/20.
Orig. du nom.~Ancien lieu-dit situé sur la commune de Charonne."	villa des Hautes Traverses 75020 Paris	48.8550159	2.403849	rue
allée Jean Sablon 75016 Paris	"Orig. du nom.~ Jean Sablon (Nogent-sur-Marne, 1906-Cannes-la-Bocca, 1994) célèbre interprète de la chanson française, sacré meilleur ""crooner"" français. Il fut le pionnier de l'utilisation du micro en France, et obtint le grand prix du Disque en 1937."	allée Jean Sablon 75016 Paris	48.8570516	2.267176	rue
villa Alexandre Tansman 75016 Paris	"Historique. ~ Précédemment, voie H/16.
Orig. du nom.~ Alexandre Tansman (Lodz, Pologne, 1897-Paris, 1986) compositeur. Il a vécu une grande partie de sa vie dans le 16ème arrondissement."	villa Alexandre Tansman 75016 Paris	48.8419769	2.266163	rue
rue d'Alger 75001 Paris	"Orig. du nom. ~ En mémoire de la prise d'Alger par l'armée française, le 5 juillet 1830.
Historique. ~ Ouvert par MM. Périer frères et Chéronnet sur l'emplacement de l'ancien Hôtel de Noailles. Précédemment rue Louis-Philippe Ier. Une ordonnance royale du 16 novembre 1834 fixait à 16 m la hauteur maxima des maisons en bordure de la voie.
"	rue d'Alger 75001 Paris	48.8653377	2.3297942	rue
allée Louis Aragon 75001 Paris	"Orig. du nom. ~ Louis Aragon (Paris, 1897-Paris, 1982), écrivain et poète français.
Historique. ~ Voie située dans le secteur des Halles. Elle avait été provisoirement dénommée Z/1.
"	allée Louis Aragon 75001 Paris	48.8629709	2.3435054	rue
rue d'Argenteuil 75001 Paris	"Orig. du nom. ~ Ancien chemin d'Argenteuil.
Historique. ~ En 1564, une partie de la rue d'Argenteuil était dénommée rue de la Haute Voirie Saint-Honoré.
"	rue d'Argenteuil 75001 Paris	48.8652701	2.3339445	rue
rue Baillet 75001 Paris	"Orig. du nom. ~ Baillet, argentier de Charles V ; demeurait au n° 4.
Historique. ~ Dénommée successivement rue Dame Gloriette (1297), rue Gloriette (1300), rue Baillette ou Baillet (vers 1350).
"	rue Baillet 75001 Paris	48.859719	2.343013	rue
rue Bailleul 75001 Paris	"Orig. du nom. ~ Robert Bailleul, clerc des comptes, y habitait en 1423.
Historique. ~ Dénommée, en 1721, d'Averon ou Daveron. Son nom actuel date de 1423.
"	rue Bailleul 75001 Paris	48.8610305	2.3414841	rue
rue Baltard 75001 Paris	"Orig. du nom. ~ Victor Baltard (Paris, 1805-Paris, 1874), architecte, restaurateur et aquarelliste français. Architecte des anciennes Halles Centrales de Paris.
Historique. ~ Voie créée lors de l'aménagement du secteur des Halles. Elle avait été provisoirement dénommée K/1.
"	rue Baltard 75001 Paris	48.862231	2.3463408	rue
